haulier_nm,position_latitude,position_longitude,heading,haulier_uen,geofence_of_interest,vehicle_speed,vehicle_no,position_altitude,snapshot_dt,time_pushed_request
OCTAGLOBA,1.3072436,103.7524686,46,201832064Z,,0,XE3680G,0,Mon Aug 19 2024 09:21:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 10:57:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.3179528,103.7484265,283,198200775K,,0,XE9166K,0,Mon Aug 19 2024 09:21:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 10:57:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3246116852350664,103.69539765177802,278,200822834N-1,,,XE4493Z,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MAJESTY,1.262870967822891,103.8301545306022,16,201332161D,,,XE8641L,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MAJESTY,1.3099459513519272,103.71241604238162,46,201332161D,,,XE8332D,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3136954394813711,103.69631087149446,205,201942014W,,,XD6741A,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
GRYPHOLOG,1.3069099189375133,103.7524656122276,235,200703473M,,,XE4451U,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.2899586447557383,103.76809376389733,29,200301939M,,,XE4845S,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
INFINITI,1.3136316336917406,103.69656751793224,115,200604403R,,,XE4983B,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
HIAPEXPR,1.326999436221861,103.73759981289574,77,202007600K,,,XE6953A,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
